program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p1,01,Al6061_body01_p1,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,9,624,2025-07-10 11:22:36.113306,21,0.0001678978379824,2446,1,8,30.0005,AUTO,4,ARMED,100,149.9167,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,55,100,0,1,100,6420.0,681139.755,6,362.721263674394,5,252.646198101673,5,-294.87994583487,1075.0,10.033333333333331,NONE,11.125333333333336,60.02,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.66,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,0.1466666666666667,3100.0,700.0,4.6,25.4,0.2,133.16666666666666,200.0,100.0,3.7,23.1,0.1,500.0,100.0,4.9,21.3,0.1,1000.0,300.0,3.2,24.2,0.1,6900.0,1000.0,7.1,22.2,0.1,18500.0,3300.0,5.6,24.7,0.3
body_p1,01,Al6061_body01_p1,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,9,625,2025-07-10 11:22:37.113517,21,0.0001678978379824,2449,1,8,30.0005,AUTO,4,ARMED,100,77.7,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,56,100,0,0,100,6420.0,681139.755,4,362.719604271872,5,252.646209545656,96,-293.180581617281,934.0,8.126666666666667,NONE,11.125333333333336,60.02,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.92,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,0.1466666666666667,3000.0,700.0,4.3,25.4,0.2,133.23333333333332,1100.0,100.0,10.0,23.1,0.1,600.0,100.0,5.7,21.3,0.1,1200.0,300.0,4.0,24.2,0.1,10900.0,1400.0,7.5,22.2,0.1,32200.0,5000.0,6.4,24.7,0.5
body_p1,02,Al6061_body02_p1,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,10,625,2025-07-10 11:41:31.849385,21,0.0001678978379824,2446,1,8,30.001,AUTO,4,ARMED,100,105.8667,5,2569234.295,2,000454_D_A_PROGRAM_1.NC,4,100,0,0,100,6420.0,681860.468000002,6,362.719524162785,5,252.646198101673,19,-310.919194485716,886.0,7.756666666666667,NONE,11.489666666666666,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8366666666666666,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,0.1643333333333333,2700.0,700.0,4.0,28.8,0.2,133.03333333333333,300.0,100.0,5.0,23.4,0.1,500.0,100.0,5.6,21.8,0.1,1100.0,400.0,2.9,24.7,0.2,8200.0,1000.0,8.6,22.7,0.1,18100.0,3200.0,5.6,25.6,0.3
body_p1,02,Al6061_body02_p1,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,10,626,2025-07-10 11:41:32.849655,21,0.0001678978379824,2449,1,8,30.001,AUTO,4,ARMED,100,0.06666667,5,2569234.295,2,000454_D_A_PROGRAM_1.NC,5,100,0,1,100,6420.0,681860.468000002,4,362.719604271872,5,252.646198101673,8,-284.821890321554,852.3333333333334,7.356666666666666,NONE,11.489666666666666,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.79,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,0.1643333333333333,2700.0,700.0,3.8,28.8,0.2,133.0,600.0,100.0,5.9,23.4,0.1,700.0,100.0,7.3,21.8,0.1,1000.0,300.0,3.0,24.7,0.1,11200.0,1400.0,7.8,22.7,0.1,30900.0,4800.0,6.5,25.6,0.4
body_p1,03,Al6061_body03_p1,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,8,617,2025-07-10 12:00:17.689418,21,0.0001678978379824,25,1,8,30.001,AUTO,4,ARMED,100,0.0,5,2570676.202,3,O9735.FNC,56,100,0,0,100,6420.0,682941.890000002,5,398.721600422723,5,252.646198101673,38,-284.77689710595,845.0,7.233333333333333,NONE,11.852666666666666,60.02,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9266666666666666,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,0.1823333333333333,2400.0,700.0,3.4,31.3,0.2,133.20000000000002,500.0,100.0,4.8,23.7,0.1,600.0,100.0,7.0,22.1,0.1,1100.0,300.0,3.3,25.3,0.1,700.0,200.0,4.0,22.9,0.1,600.0,200.0,3.3,27.2,0.1
body_p1,03,Al6061_body03_p1,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,8,618,2025-07-10 12:00:18.689569,21,0.0001678978379824,2447,1,8,30.001,AUTO,4,ARMED,100,13.05,5,2570676.202,3,000454_D_A_PROGRAM_1.NC,57,100,0,0,100,6420.0,682941.890000002,5,362.719581383561,5,252.646198101673,28,-315.975937420401,858.6666666666666,7.31,NONE,11.852666666666666,60.02,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8933333333333334,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,0.1823333333333333,2400.0,700.0,3.5,31.4,0.3,133.20000000000002,300.0,100.0,4.1,23.7,0.1,300.0,100.0,3.8,22.1,0.1,1100.0,400.0,3.0,25.3,0.2,900.0,200.0,5.1,22.9,0.1,3800.0,500.0,7.7,27.2,0.2
body_p1,04,Al6061_body04_p1,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,8,619,2025-07-10 13:34:32.590283,21,0.0001678978379824,25,1,8,30.0005,AUTO,4,ARMED,100,0.0,5,2574998.991,4,O9735.FNC,7,100,0,1,100,6420.0,684383.587999999,5,398.697098072002,5,252.646198101673,38,-284.77689710595,951.6666666666666,8.816666666666666,NONE,12.777666666666669,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9066666666666666,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,0.2016666666666666,2200.0,600.0,3.9,28.0,0.2,131.83333333333334,400.0,100.0,4.7,22.8,0.1,700.0,100.0,5.0,22.0,0.1,900.0,300.0,3.4,25.0,0.1,900.0,200.0,4.7,22.9,0.1,3400.0,300.0,13.2,26.5,0.1
body_p1,04,Al6061_body04_p1,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,8,620,2025-07-10 13:34:33.590582,21,0.0001678978379824,2447,1,8,30.0005,AUTO,4,ARMED,100,19.55,5,2574998.991,4,000454_D_A_PROGRAM_1.NC,8,100,0,1,100,6420.0,684383.587999999,4,362.719604271872,5,252.646198101673,26,-319.936336607163,886.0,7.676666666666667,NONE,12.777666666666669,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8866666666666667,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,0.2016666666666666,2400.0,600.0,3.8,28.0,0.2,131.83333333333334,300.0,100.0,3.6,22.8,0.1,600.0,100.0,4.8,22.0,0.1,1100.0,300.0,3.5,25.0,0.1,2900.0,300.0,10.1,22.9,0.1,28800.0,4400.0,6.5,26.5,0.4
body_p1,06,Al6061_body06_p1,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,11,636,2025-07-11 11:37:39.531970,14,-0.0010460767582615,2446,1,9,30.0,AUTO,4,ARMED,100,133.8333,5,2595174.109,6,000454_D_A_PROGRAM_1.NC,4,100,0,1,100,6420.0,691589.264,6,362.71951271863,5,252.646198101673,5,-311.779856309725,872.0,7.510000000000001,NONE,17.115666666666666,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8466666666666667,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,0.381,2600.0,700.0,3.9,26.5,0.2,132.63333333333333,200.0,100.0,3.4,21.6,0.1,300.0,100.0,3.8,21.9,0.1,900.0,300.0,3.2,24.7,0.1,700.0,200.0,4.2,23.3,0.1,600.0,200.0,3.3,26.6,0.2
body_p1,06,Al6061_body06_p1,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,11,637,2025-07-11 11:37:40.532222,14,-0.0010460767582615,2449,1,9,30.0,AUTO,4,ARMED,100,118.95,5,2595174.109,6,000454_D_A_PROGRAM_1.NC,5,100,0,0,100,6420.0,691589.264,4,362.719604271872,5,252.646198101673,21,-284.778144374643,885.6666666666666,7.55,NONE,17.116,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8633333333333333,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,0.381,3200.0,600.0,4.9,26.5,0.2,132.6,200.0,100.0,3.5,21.6,0.1,600.0,100.0,6.3,21.9,0.1,1000.0,300.0,3.4,24.7,0.1,8100.0,1100.0,7.7,23.3,0.1,18800.0,3200.0,5.9,26.6,0.3
body_p1,07,Al6061_body07_p1,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,9,618,2025-07-11 11:57:18.838712,14,-0.0010460767582615,2445,1,9,30.0,AUTO,4,ARMED,100,0.0,5,2596255.517,7,000454_D_A_PROGRAM_1.NC,7,100,0,1,100,6420.0,692670.178000001,5,395.779008165255,5,252.64618665769,38,-284.776885663118,853.6666666666666,7.25,NONE,17.48,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.6966666666666667,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,0.3976666666666666,2800.0,600.0,4.4,29.9,0.2,133.06666666666666,300.0,100.0,5.3,21.5,0.1,600.0,100.0,5.6,22.2,0.1,1100.0,300.0,3.9,24.9,0.1,10100.0,1500.0,6.9,23.5,0.1,29000.0,5200.0,5.6,27.3,0.4
body_p1,07,Al6061_body07_p1,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,9,619,2025-07-11 11:57:19.838986,14,-0.0010460767582615,2447,1,9,30.0,AUTO,4,ARMED,100,19.55,5,2596255.517,7,000454_D_A_PROGRAM_1.NC,7,100,0,0,100,6420.0,692670.178000001,5,362.719592827717,5,252.646198101673,26,-319.339390921448,993.6666666666666,9.1,NONE,17.48,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.7733333333333334,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,0.3976666666666666,2900.0,600.0,4.8,29.9,0.2,132.96666666666667,600.0,100.0,5.2,21.5,0.1,800.0,100.0,5.9,22.2,0.1,1100.0,300.0,3.9,24.9,0.1,3100.0,200.0,13.6,23.5,0.1,7800.0,700.0,11.8,27.3,0.2
body_p1,08,Al6061_body08_p1,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,10,660,2025-07-11 12:16:02.335636,14,-0.0010460767582615,2446,1,9,30.0,AUTO,4,ARMED,100,68.25,5,2597336.955,8,000454_D_A_PROGRAM_1.NC,3,100,0,0,100,6420.0,693390.890999999,5,362.719501274474,5,252.646198101673,61,-310.739786956219,1084.0,10.133333333333333,NONE,17.837666666666664,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,1.0,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,0.4136666666666666,2400.0,600.0,4.2,32.1,0.2,133.3,200.0,100.0,3.8,21.8,0.1,300.0,100.0,3.8,22.5,0.1,1000.0,300.0,3.2,25.4,0.1,1100.0,200.0,6.7,23.7,0.1,700.0,200.0,3.7,27.9,0.1
body_p1,08,Al6061_body08_p1,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,10,661,2025-07-11 12:16:03.335882,14,-0.0010460767582615,2449,1,9,30.0,AUTO,4,ARMED,100,120.9167,5,2597336.955,8,000454_D_A_PROGRAM_1.NC,4,100,0,0,100,6420.0,693390.890999999,4,362.719604271872,5,252.646198101673,22,-284.778270245795,916.0,7.856666666666666,NONE,17.838333333333335,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.94,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,0.4136666666666666,2200.0,600.0,4.0,32.1,0.2,133.4,200.0,100.0,3.5,21.8,0.1,500.0,100.0,6.0,22.5,0.1,1000.0,300.0,3.2,25.4,0.1,6900.0,900.0,7.9,23.7,0.1,18200.0,3200.0,5.7,27.9,0.3
